vi	V(n002)	I(Rd)
1.800000000000000e+00	4.999639e+00	1.803847e-06
1.801000000000000e+00	4.999632e+00	1.839803e-06
1.802000000000000e+00	4.999625e+00	1.877209e-06
1.803000000000000e+00	4.999617e+00	1.914999e-06
1.804000000000000e+00	4.999609e+00	1.953549e-06
1.804999999999999e+00	4.999601e+00	1.992873e-06
1.805999999999999e+00	4.999593e+00	2.032988e-06
1.806999999999999e+00	4.999585e+00	2.073908e-06
1.807999999999999e+00	4.999577e+00	2.115651e-06
1.808999999999999e+00	4.999568e+00	2.158233e-06
1.809999999999999e+00	4.999560e+00	2.201669e-06
1.810999999999999e+00	4.999551e+00	2.245979e-06
1.811999999999999e+00	4.999542e+00	2.291178e-06
1.812999999999999e+00	4.999533e+00	2.337286e-06
1.813999999999999e+00	4.999523e+00	2.384319e-06
1.814999999999998e+00	4.999514e+00	2.432297e-06
1.815999999999998e+00	4.999504e+00	2.481238e-06
1.816999999999998e+00	4.999494e+00	2.531163e-06
1.817999999999998e+00	4.999484e+00	2.582090e-06
1.818999999999998e+00	4.999473e+00	2.634039e-06
1.819999999999998e+00	4.999463e+00	2.687031e-06
1.820999999999998e+00	4.999452e+00	2.741087e-06
1.821999999999998e+00	4.999441e+00	2.796229e-06
1.822999999999998e+00	4.999430e+00	2.852477e-06
1.823999999999997e+00	4.999418e+00	2.909855e-06
1.824999999999997e+00	4.999406e+00	2.968384e-06
1.825999999999997e+00	4.999394e+00	3.028087e-06
1.826999999999997e+00	4.999382e+00	3.088989e-06
1.827999999999997e+00	4.999370e+00	3.151113e-06
1.828999999999997e+00	4.999357e+00	3.214484e-06
1.829999999999997e+00	4.999344e+00	3.279126e-06
1.830999999999997e+00	4.999331e+00	3.345065e-06
1.831999999999997e+00	4.999318e+00	3.412327e-06
1.832999999999996e+00	4.999304e+00	3.480938e-06
1.833999999999996e+00	4.999290e+00	3.550926e-06
1.834999999999996e+00	4.999276e+00	3.622317e-06
1.835999999999996e+00	4.999261e+00	3.695140e-06
1.836999999999996e+00	4.999246e+00	3.769424e-06
1.837999999999996e+00	4.999231e+00	3.845197e-06
1.838999999999996e+00	4.999216e+00	3.922490e-06
1.839999999999996e+00	4.999200e+00	4.001332e-06
1.840999999999996e+00	4.999184e+00	4.081755e-06
1.841999999999995e+00	4.999167e+00	4.163791e-06
1.842999999999995e+00	4.999150e+00	4.247471e-06
1.843999999999995e+00	4.999134e+00	4.332828e-06
1.844999999999995e+00	4.999116e+00	4.419896e-06
1.845999999999995e+00	4.999098e+00	4.508709e-06
1.846999999999995e+00	4.999080e+00	4.599302e-06
1.847999999999995e+00	4.999062e+00	4.691709e-06
1.848999999999995e+00	4.999043e+00	4.785969e-06
1.849999999999995e+00	4.999023e+00	4.882117e-06
1.850999999999994e+00	4.999004e+00	4.980191e-06
1.851999999999994e+00	4.998984e+00	5.080230e-06
1.852999999999994e+00	4.998963e+00	5.182273e-06
1.853999999999994e+00	4.998943e+00	5.286359e-06
1.854999999999994e+00	4.998921e+00	5.392529e-06
1.855999999999994e+00	4.998900e+00	5.500826e-06
1.856999999999994e+00	4.998878e+00	5.611291e-06
1.857999999999994e+00	4.998855e+00	5.723968e-06
