vdd	I(Rd)
Step Information: Vi=2.26  (Run: 3/3)
0.000000000000000e+00	3.189985e-29
5.000000000000000e-02	2.469688e-04
1.000000000000000e-01	4.939014e-04
1.500000000000000e-01	7.407967e-04
2.000000000000000e-01	9.876530e-04
2.500000000000000e-01	1.234469e-03
3.000000000000000e-01	1.481243e-03
3.500000000000000e-01	1.727973e-03
4.000000000000000e-01	1.974658e-03
4.500000000000000e-01	2.221296e-03
4.999999999999999e-01	2.467884e-03
5.499999999999999e-01	2.714420e-03
6.000000000000000e-01	2.960901e-03
6.500000000000000e-01	3.207326e-03
7.000000000000001e-01	3.453692e-03
7.500000000000001e-01	3.699994e-03
8.000000000000002e-01	3.946230e-03
8.500000000000002e-01	4.192397e-03
9.000000000000002e-01	4.438489e-03
9.500000000000003e-01	4.684503e-03
1.000000000000000e+00	4.930433e-03
1.050000000000000e+00	5.176275e-03
1.100000000000000e+00	5.422022e-03
1.150000000000000e+00	5.667667e-03
1.200000000000000e+00	5.913203e-03
1.250000000000000e+00	6.158620e-03
1.300000000000000e+00	6.403910e-03
1.350000000000001e+00	6.649060e-03
1.400000000000001e+00	6.894058e-03
1.450000000000001e+00	7.138887e-03
1.500000000000001e+00	7.383531e-03
1.550000000000001e+00	7.627967e-03
1.600000000000001e+00	7.872169e-03
1.650000000000001e+00	8.116105e-03
1.700000000000001e+00	8.359733e-03
1.750000000000001e+00	8.603003e-03
1.800000000000001e+00	8.845846e-03
1.850000000000001e+00	9.088168e-03
1.900000000000001e+00	9.329836e-03
1.950000000000001e+00	9.570648e-03
2.000000000000001e+00	9.810269e-03
2.050000000000001e+00	1.004807e-02
2.100000000000001e+00	1.028256e-02
2.150000000000000e+00	1.050530e-02
2.200000000000000e+00	1.052739e-02
2.250000000000000e+00	1.052739e-02
2.300000000000000e+00	1.052739e-02
2.350000000000000e+00	1.052739e-02
2.399999999999999e+00	1.052739e-02
2.449999999999999e+00	1.052739e-02
2.499999999999999e+00	1.052739e-02
2.549999999999999e+00	1.052739e-02
2.599999999999999e+00	1.052739e-02
2.649999999999999e+00	1.052739e-02
2.699999999999998e+00	1.052739e-02
2.749999999999998e+00	1.052739e-02
2.799999999999998e+00	1.052739e-02
2.849999999999998e+00	1.052739e-02
2.899999999999998e+00	1.052739e-02
2.949999999999998e+00	1.052739e-02
2.999999999999997e+00	1.052739e-02
3.049999999999997e+00	1.052739e-02
3.099999999999997e+00	1.052739e-02
3.149999999999997e+00	1.052739e-02
3.199999999999997e+00	1.052739e-02
3.249999999999996e+00	1.052739e-02
3.299999999999996e+00	1.052739e-02
3.349999999999996e+00	1.052739e-02
3.399999999999996e+00	1.052739e-02
3.449999999999996e+00	1.052739e-02
3.499999999999996e+00	1.052739e-02
3.549999999999995e+00	1.052739e-02
3.599999999999995e+00	1.052739e-02
3.649999999999995e+00	1.052739e-02
3.699999999999995e+00	1.052739e-02
3.749999999999995e+00	1.052739e-02
3.799999999999994e+00	1.052739e-02
3.849999999999994e+00	1.052739e-02
3.899999999999994e+00	1.052739e-02
3.949999999999994e+00	1.052739e-02
3.999999999999994e+00	1.052739e-02
4.049999999999994e+00	1.052739e-02
4.099999999999993e+00	1.052739e-02
4.149999999999993e+00	1.052739e-02
4.199999999999993e+00	1.052739e-02
4.249999999999993e+00	1.052739e-02
4.299999999999993e+00	1.052739e-02
4.349999999999993e+00	1.052739e-02
4.399999999999992e+00	1.052739e-02
4.449999999999992e+00	1.052739e-02
4.499999999999992e+00	1.052739e-02
4.549999999999992e+00	1.052739e-02
4.599999999999992e+00	1.052739e-02
4.649999999999991e+00	1.052739e-02
4.699999999999991e+00	1.052739e-02
4.749999999999991e+00	1.052739e-02
4.799999999999991e+00	1.052739e-02
4.849999999999991e+00	1.052739e-02
4.899999999999991e+00	1.052739e-02
4.949999999999990e+00	1.052739e-02
5.000000000000000e+00	1.052739e-02
