vdd	I(Rd)
Step Information: Vi=2.23  (Run: 2/3)
0.000000000000000e+00	-9.349128e-31
5.000000000000000e-02	2.461431e-04
1.000000000000000e-01	4.922107e-04
1.500000000000000e-01	7.381985e-04
2.000000000000000e-01	9.841012e-04
2.500000000000000e-01	1.229913e-03
3.000000000000000e-01	1.475628e-03
3.500000000000000e-01	1.721239e-03
4.000000000000000e-01	1.966738e-03
4.500000000000000e-01	2.212116e-03
4.999999999999999e-01	2.457362e-03
5.499999999999999e-01	2.702465e-03
6.000000000000000e-01	2.947411e-03
6.500000000000000e-01	3.192183e-03
7.000000000000001e-01	3.436763e-03
7.500000000000001e-01	3.681127e-03
8.000000000000002e-01	3.925248e-03
8.500000000000002e-01	4.169090e-03
9.000000000000002e-01	4.412610e-03
9.500000000000003e-01	4.655752e-03
1.000000000000000e+00	4.898440e-03
1.050000000000000e+00	5.140570e-03
1.100000000000000e+00	5.381990e-03
1.150000000000000e+00	5.622467e-03
1.200000000000000e+00	5.861596e-03
1.250000000000000e+00	6.098576e-03
1.300000000000000e+00	6.331015e-03
1.350000000000001e+00	6.502360e-03
1.400000000000001e+00	6.502360e-03
1.450000000000001e+00	6.502360e-03
1.500000000000001e+00	6.502360e-03
1.550000000000001e+00	6.502360e-03
1.600000000000001e+00	6.502360e-03
1.650000000000001e+00	6.502360e-03
1.700000000000001e+00	6.502360e-03
1.750000000000001e+00	6.502360e-03
1.800000000000001e+00	6.502360e-03
1.850000000000001e+00	6.502360e-03
1.900000000000001e+00	6.502360e-03
1.950000000000001e+00	6.502360e-03
2.000000000000001e+00	6.502360e-03
2.050000000000001e+00	6.502360e-03
2.100000000000001e+00	6.502360e-03
2.150000000000000e+00	6.502360e-03
2.200000000000000e+00	6.502360e-03
2.250000000000000e+00	6.502360e-03
2.300000000000000e+00	6.502360e-03
2.350000000000000e+00	6.502360e-03
2.399999999999999e+00	6.502360e-03
2.449999999999999e+00	6.502360e-03
2.499999999999999e+00	6.502360e-03
2.549999999999999e+00	6.502360e-03
2.599999999999999e+00	6.502360e-03
2.649999999999999e+00	6.502360e-03
2.699999999999998e+00	6.502360e-03
2.749999999999998e+00	6.502360e-03
2.799999999999998e+00	6.502360e-03
2.849999999999998e+00	6.502360e-03
2.899999999999998e+00	6.502360e-03
2.949999999999998e+00	6.502360e-03
2.999999999999997e+00	6.502360e-03
3.049999999999997e+00	6.502360e-03
3.099999999999997e+00	6.502360e-03
3.149999999999997e+00	6.502360e-03
3.199999999999997e+00	6.502360e-03
3.249999999999996e+00	6.502360e-03
3.299999999999996e+00	6.502360e-03
3.349999999999996e+00	6.502360e-03
3.399999999999996e+00	6.502360e-03
3.449999999999996e+00	6.502360e-03
3.499999999999996e+00	6.502360e-03
3.549999999999995e+00	6.502360e-03
3.599999999999995e+00	6.502360e-03
3.649999999999995e+00	6.502360e-03
3.699999999999995e+00	6.502360e-03
3.749999999999995e+00	6.502360e-03
3.799999999999994e+00	6.502360e-03
3.849999999999994e+00	6.502360e-03
3.899999999999994e+00	6.502360e-03
3.949999999999994e+00	6.502360e-03
3.999999999999994e+00	6.502360e-03
4.049999999999994e+00	6.502360e-03
4.099999999999993e+00	6.502360e-03
4.149999999999993e+00	6.502360e-03
4.199999999999993e+00	6.502360e-03
4.249999999999993e+00	6.502360e-03
4.299999999999993e+00	6.502360e-03
4.349999999999993e+00	6.502360e-03
4.399999999999992e+00	6.502360e-03
4.449999999999992e+00	6.502360e-03
4.499999999999992e+00	6.502360e-03
4.549999999999992e+00	6.502360e-03
4.599999999999992e+00	6.502360e-03
4.649999999999991e+00	6.502360e-03
4.699999999999991e+00	6.502360e-03
4.749999999999991e+00	6.502360e-03
4.799999999999991e+00	6.502360e-03
4.849999999999991e+00	6.502360e-03
4.899999999999991e+00	6.502360e-03
4.949999999999990e+00	6.502360e-03
5.000000000000000e+00	6.502360e-03
