time	V(n004)	V(n002)
0.000000000000000e+00	0.000000e+00	5.000000e+00
1.000000000000000e-02	3.615779e-12	5.000000e+00
1.000000426549819e-02	2.132749e-02	5.005959e+00
1.000001279649456e-02	6.398247e-02	5.015993e+00
1.000002684267999e-02	1.342134e-01	5.027066e+00
1.000004086546451e-02	2.043273e-01	5.032770e+00
1.000006891103355e-02	3.445552e-01	5.037014e+00
1.000012500217162e-02	6.250108e-01	5.039652e+00
1.000023718444777e-02	1.185922e+00	5.041911e+00
1.000031675035146e-02	1.583752e+00	5.043236e+00
1.000038018006830e-02	1.900900e+00	4.999272e+00
1.000042980963101e-02	2.149048e+00	4.616036e+00
1.000045616383743e-02	2.280819e+00	3.702221e+00
1.000047210301474e-02	2.360515e+00	2.467435e+00
1.000048442302802e-02	2.422115e+00	1.209484e+00
1.000049603662602e-02	2.480183e+00	1.553610e-01
1.000049942812723e-02	2.497141e+00	1.954599e-02
1.000050272652183e-02	2.513633e+00	1.586216e-02
1.000050423855638e-02	2.521193e+00	1.463392e-02
1.000050499567135e-02	2.524978e+00	1.484724e-02
1.000050533502329e-02	2.526675e+00	1.478322e-02
1.000050558009422e-02	2.527900e+00	1.436819e-02
1.000050585916129e-02	2.529296e+00	1.434092e-02
1.000050784205545e-02	2.539210e+00	1.378517e-02
1.000051010822021e-02	2.550541e+00	1.320843e-02
1.000051464054972e-02	2.573203e+00	1.220432e-02
1.000052370520873e-02	2.618526e+00	1.062715e-02
1.000054183452676e-02	2.709173e+00	8.498609e-03
1.000057809316283e-02	2.890466e+00	6.126690e-03
1.000065061043495e-02	3.253052e+00	3.981824e-03
1.000079564497920e-02	3.978225e+00	2.315534e-03
1.000100000000000e-02	5.000000e+00	1.300288e-03
1.000102043550208e-02	5.000000e+00	1.266708e-03
1.000106130650624e-02	5.000000e+00	1.249487e-03
1.000109757126284e-02	5.000000e+00	1.249767e-03
1.000114138208262e-02	5.000000e+00	1.249866e-03
1.000122900372217e-02	5.000000e+00	1.249832e-03
