#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-12-17 02:39:22.636
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 100 %
#Phase: 0
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 5 V

Time (s)	Channel 1 (V)
-0.00258048	-0.02041025889524726
-0.00257985	-0.02411162455511752
-0.00257922	-0.0167088932353753
-0.00257859	-0.02041025889524726
-0.00257796	-0.02041025889524726
-0.00257733	-0.02041025889524726
-0.0025767	-0.02041025889524726
-0.00257607	-0.02041025889524726
-0.00257544	-0.02411162455511921
-0.00257481	-0.02041025889524894
-0.00257418	-0.02041025889524726
-0.00257355	-0.01670889323537362
-0.00257292	-0.01300752757550335
-0.00257229	-0.0167088932353753
-0.00257166	-0.01670889323537867
-0.00257103	-0.02411162455511921
-0.0025704	-0.02041025889524726
-0.00256977	-0.02041025889524726
-0.00256914	-0.02041025889524726
-0.00256851	-0.01670889323537867
-0.00256788	-0.02411162455511921
-0.00256725	-0.02041025889524726
-0.00256662	-0.02041025889524557
-0.00256599	-0.0167088932353753
-0.00256536	-0.01300752757550335
-0.00256473	-0.01300752757550335
-0.0025641	-0.02041025889524726
-0.00256347	-0.02041025889524726
-0.00256284	-0.02041025889524726
-0.00256221	-0.02411162455511921
-0.00256158	-0.02411162455511752
-0.00256095	-0.02041025889524726
-0.00256032	-0.0167088932353753
-0.00255969	-0.0167088932353753
-0.00255906	-0.02041025889524726
-0.00255843	-0.0167088932353753
-0.0025578	-0.0167088932353753
-0.00255717	-0.0167088932353753
-0.00255654	-0.01670889323537362
-0.00255591	-0.01300752757550335
-0.00255528	-0.02041025889524726
-0.00255465	-0.01300752757550671
-0.00255402	-0.01300752757550335
-0.00255339	-0.02041025889524726
-0.00255276	-0.01300752757550335
-0.00255213	-0.0167088932353753
-0.0025515	-0.01670889323537698
-0.00255087	-0.02041025889524726
-0.00255024	-0.0167088932353753
-0.00254961	-0.02041025889524557
-0.00254898	-0.02411162455511921
-0.00254835	-0.02041025889524726
-0.00254772	-0.02041025889524726
-0.00254709	-0.02781299021499116
-0.00254646	-0.02041025889524894
-0.00254583	-0.02411162455511921
-0.0025452	-0.02041025889524726
-0.00254457	-0.02041025889524726
-0.00254394	-0.02041025889524726
-0.00254331	-0.02041025889524726
-0.00254268	-0.02041025889524726
-0.00254205	-0.02041025889524726
-0.00254142	-0.02041025889524726
-0.00254079	-0.02041025889524726
-0.00254016	-0.02411162455511921
-0.00253953	-0.01670889323537867
-0.0025389	-0.0167088932353753
-0.00253827	-0.0167088932353753
-0.00253764	-0.0167088932353753
-0.00253701	-0.0167088932353753
-0.00253638	-0.0167088932353753
-0.00253575	-0.0167088932353753
-0.00253512	-0.01300752757550335
-0.00253449	-0.0167088932353753
-0.00253386	-0.0167088932353753
-0.00253323	-0.02041025889524726
-0.0025326	-0.02041025889524726
-0.00253197	-0.02041025889524726
-0.00253134	-0.01300752757550671
-0.00253071	-0.02041025889524726
-0.00253008	-0.0167088932353753
-0.00252945	-0.02041025889524726
-0.00252882	-0.02041025889524726
-0.00252819	-0.0167088932353753
-0.00252756	-0.02041025889524557
-0.00252693	-0.0167088932353753
-0.0025263	-0.02041025889524726
-0.00252567	-0.02041025889524726
-0.00252504	-0.0167088932353753
-0.00252441	-0.0167088932353753
-0.00252378	-0.0167088932353753
-0.00252315	-0.0167088932353753
-0.00252252	-0.0167088932353753
-0.00252189	-0.01300752757550335
-0.00252126	-0.0167088932353753
-0.00252063	-0.02041025889524726
-0.00252	-0.0167088932353753
-0.00251937	-0.01670889323537362
-0.00251874	-0.01300752757550335
-0.00251811	-0.0167088932353753
-0.00251748	-0.02041025889524557
-0.00251685	-0.01300752757550335
-0.00251622	-0.0167088932353753
-0.00251559	-0.02411162455511584
-0.00251496	-0.02411162455511921
-0.00251433	-0.02411162455511752
-0.0025137	-0.02041025889524726
-0.00251307	-0.0167088932353753
-0.00251244	-0.0167088932353753
